User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
albert_serra,@albert_serra92,2022-11-20T23:39:53.000Z,"albert_serra
@albert_serra92
·
2sReplying to 
@albert_serra92
 @Hozemanuel
 and 2 others
Por supuesto que estudiado las 3 salidas y ya estoy tramitando la que es por tierra, que Andorra esta aqui al lado",,,
Hask,@The_Hask,2022-11-20T23:39:53.000Z,"Hask
@The_Hask
·
2sReplying to 
@Carlafinch21
 @elonmusk
 and 
@CarlaFinch
You couldn’t have said anything that bad? Right? ",,,
Serksmagnus,@serksmagnus1,2022-11-20T23:39:53.000Z,"Serksmagnus
@serksmagnus1
·
2sReplying to 
@elonmusk",,,
Dan2112,@Dan21124,2022-11-20T23:39:53.000Z,"Dan2112
@Dan21124
·
2sReplying to 
@elonmusk
 and 
@kanyewest
GIF
ALT",,,
DunnMan,@DunnMan77,2022-11-20T23:39:53.000Z,"DunnMan
@DunnMan77
·
5sReplying to 
@RepMTG
 @laralogan
 and 
@elonmusk
Oh hey look, the dogshit on the bottom of the shoe from the Republican Party has something to say.",,,
Sarge15,@zzzzski,2022-11-20T23:39:53.000Z,"Sarge15
@zzzzski
·
5sReplying to 
@PippinResists
 @alx
 and 
@elonmusk",,,
albert_serra,@albert_serra92,2022-11-20T23:39:53.000Z,"albert_serra
@albert_serra92
·
5sReplying to 
@albert_serra92
 @Hozemanuel
 and 2 others
Por supuesto que estudiado las 3 salidas y ya estoy tramitando la que es por tierra, que Andorra esta aqui al lado",,,
Hask,@The_Hask,2022-11-20T23:39:53.000Z,"Hask
@The_Hask
·
5sReplying to 
@Carlafinch21
 @elonmusk
 and 
@CarlaFinch
You couldn’t have said anything that bad? Right? ",,,
Serksmagnus,@serksmagnus1,2022-11-20T23:39:53.000Z,"Serksmagnus
@serksmagnus1
·
5sReplying to 
@elonmusk",,,
Dan2112,@Dan21124,2022-11-20T23:39:53.000Z,"Dan2112
@Dan21124
·
5sReplying to 
@elonmusk
 and 
@kanyewest
GIF
ALT",,,
Adriano,@stonermoment4,2022-11-20T23:39:53.000Z,"Adriano
@stonermoment4
·
5sReplying to 
@elonmusk",,,
Think,@Think0909,2022-11-20T23:39:52.000Z,"Think
@Think0909
·
6sReplying to 
@elonmusk
Lol",,,
Future Fantasy is on Patreon!,@FutureFantasy5,2022-11-20T23:39:52.000Z,"Future Fantasy is on Patreon!
@FutureFantasy5
·
6sIf 
@elonmusk
  can fire 75% of Twitter and it still functions, can we do the same with all the #liberals in government?
#LiberalismIsAMentalDisorder 
#LiberalMeltdown",,,
fortypercent,@fortypercent,2022-11-20T23:39:52.000Z,"fortypercent
@fortypercent
·
6sReplying to 
@burneracct1099
 @tesla_raj
 and 
@elonmusk
Backing in is because of the absence of a right front camera. More often than not autopark is silly backing in. Often more practical is just to drive in or parallel park",,,
M,@lk09k,2022-11-20T23:39:52.000Z,"M
@lk09k
·
6sReplying to 
@TonyadeVitti
 @elonmusk
 and 9 others
what exactly did he change?",,,
The_Sourceror,@Tha_Sourceror,2022-11-20T23:39:52.000Z,"The_Sourceror
@Tha_Sourceror
·
6sReplying to 
@takemeaway771
 @mn_google
 and 
@elonmusk
We are on his platform",,,
Ocas302,@CryptoKeeper007,2022-11-20T23:39:52.000Z,"Ocas302
@CryptoKeeper007
·
6sReplying to 
@elonmusk
Lol",,,
i hope this is satire…,@sablaah,2022-11-20T23:39:52.000Z,"i hope this is satire…
@sablaah
·
6sReplying to 
@Errrmanermaner1
 and 
@elonmusk
I love garfield thanks",,,
jerry,@imjeddi,2022-11-20T23:39:52.000Z,"jerry
@imjeddi
·
6sReplying to 
@HolySpirit_Girl
 @CrystalHope1979
 and 2 others
How about we just hold her fake decapitated for a photo",,,
noong.eth,@Noong_Dotimal,2022-11-20T23:39:52.000Z,"noong.eth
@Noong_Dotimal
·
6sReplying to 
@elonmusk
Are you watching the World Cup?",,,
Michael Calo,@Calo_is_back,2022-11-20T23:39:52.000Z,"Michael Calo
@Calo_is_back
·
6sReplying to 
@elonmusk
lol",,,
Edward Chihanick,@chihanick,2022-11-20T23:39:52.000Z,"Edward Chihanick
@chihanick
·
6sReplying to 
@elonmusk
It should’ve been a bag of cocaine.",,,
SBHouston,@BenavidezLaw,2022-11-20T23:39:52.000Z,"SBHouston
@BenavidezLaw
·
6sReplying to 
@GrahamAllen_1
 and 
@elonmusk
Or how many the yes votes were bots!",,,
THINGS WE MAY NOT KNOW,@blackfordStef,2022-11-20T23:39:52.000Z,"THINGS WE MAY NOT KNOW
@blackfordStef
·
6sReplying to 
@MessageFromLen
 and 
@elonmusk
Remove him from his life",,,
tom,@tom_4283,2022-11-20T23:39:52.000Z,"tom
@tom_4283
·
6sReplying to 
@elonmusk
 and 
@RaheemKassam
They also thrive off Trump being on Twitter. CNN rode his coattails for years and then they’re numbers collapsed when he was suspended.",,,
Future Fantasy is on Patreon!,@FutureFantasy5,2022-11-20T23:39:52.000Z,"Future Fantasy is on Patreon!
@FutureFantasy5
·
10sIf 
@elonmusk
  can fire 75% of Twitter and it still functions, can we do the same with all the #liberals in government?
#LiberalismIsAMentalDisorder 
#LiberalMeltdown",,,
fortypercent,@fortypercent,2022-11-20T23:39:52.000Z,"fortypercent
@fortypercent
·
10sReplying to 
@burneracct1099
 @tesla_raj
 and 
@elonmusk
Backing in is because of the absence of a right front camera. More often than not autopark is silly backing in. Often more practical is just to drive in or parallel park",,,
M,@lk09k,2022-11-20T23:39:52.000Z,"M
@lk09k
·
10sReplying to 
@TonyadeVitti
 @elonmusk
 and 9 others
what exactly did he change?",,,
The_Sourceror,@Tha_Sourceror,2022-11-20T23:39:52.000Z,"The_Sourceror
@Tha_Sourceror
·
10sReplying to 
@takemeaway771
 @mn_google
 and 
@elonmusk
We are on his platform",,,
Ocas302,@CryptoKeeper007,2022-11-20T23:39:52.000Z,"Ocas302
@CryptoKeeper007
·
10sReplying to 
@elonmusk
Lol",,,
i hope this is satire…,@sablaah,2022-11-20T23:39:52.000Z,"i hope this is satire…
@sablaah
·
10sReplying to 
@Errrmanermaner1
 and 
@elonmusk
I love garfield thanks",,,
jerry,@imjeddi,2022-11-20T23:39:52.000Z,"jerry
@imjeddi
·
10sReplying to 
@HolySpirit_Girl
 @CrystalHope1979
 and 2 others
How about we just hold her fake decapitated for a photo",,,
noong.eth,@Noong_Dotimal,2022-11-20T23:39:52.000Z,"noong.eth
@Noong_Dotimal
·
10sReplying to 
@elonmusk
Are you watching the World Cup?",,,
Michael Calo,@Calo_is_back,2022-11-20T23:39:52.000Z,"Michael Calo
@Calo_is_back
·
10sReplying to 
@elonmusk
lol",,,
Edward Chihanick,@chihanick,2022-11-20T23:39:52.000Z,"Edward Chihanick
@chihanick
·
10sReplying to 
@elonmusk
It should’ve been a bag of cocaine.",,,
SBHouston,@BenavidezLaw,2022-11-20T23:39:52.000Z,"SBHouston
@BenavidezLaw
·
10sReplying to 
@GrahamAllen_1
 and 
@elonmusk
Or how many the yes votes were bots!",,,
THINGS WE MAY NOT KNOW,@blackfordStef,2022-11-20T23:39:52.000Z,"THINGS WE MAY NOT KNOW
@blackfordStef
·
10sReplying to 
@MessageFromLen
 and 
@elonmusk
Remove him from his life",,,
tom,@tom_4283,2022-11-20T23:39:52.000Z,"tom
@tom_4283
·
10sReplying to 
@elonmusk
 and 
@RaheemKassam
They also thrive off Trump being on Twitter. CNN rode his coattails for years and then they’re numbers collapsed when he was suspended.",,,
Maurizio Mezzatesta,@MaurizioJuveFC,2022-11-20T23:39:51.000Z,"Maurizio Mezzatesta
@MaurizioJuveFC
·
11sReplying to 
@M1SHINATOR
 and 
@elonmusk
both are trash",,,
Esprit critique,@Espritcritic32,2022-11-20T23:39:51.000Z,"Esprit critique
@Espritcritic32
·
11sCan’t read anymore :  « this is my last tweet ».  
@elonmusk
 Can you please add a automated function that suspend account for 30 days if that is tweeted",,,
LUCIFRON,@sk_94__,2022-11-20T23:39:51.000Z,"LUCIFRON
@sk_94__
·
11sReplying to 
@TeslaAIBot
 @elonmusk
 and 
@catturd2
.",,,
Sh4dOw,@Sh4dOw_Anon,2022-11-20T23:39:51.000Z,"Sh4dOw
@Sh4dOw_Anon
·
11sReplying to 
@catturd2
 and 
@elonmusk
Oh that is for sure! He is loving it. Can't wait to see what club he takes out of the golf bag next!! #kek",,,
Lonnie C,@LonnieC79588880,2022-11-20T23:39:51.000Z,"Lonnie C
@LonnieC79588880
·
11sReplying to 
@WholeMarsBlog
 and 
@elonmusk
Liberal Tears",,,
InTeRnAL_ DiALoGuE,@InTeRnALDiALo10,2022-11-20T23:39:51.000Z,"InTeRnAL_ DiALoGuE
@InTeRnALDiALo10
·
11sReplying to 
@elonmusk
Gold.",,,
The last of us,@ph2403,2022-11-20T23:39:51.000Z,"The last of us
@ph2403
·
11sReplying to 
@elonmusk",,,
SimplyNess,@SimplyNess79,2022-11-20T23:39:51.000Z,"SimplyNess
@SimplyNess79
·
11sReplying to 
@elonmusk
Is this Elon admitting his name alone is not enough for Twitter to be profitable?",,,
JemMac (R),@JimMack1211,2022-11-20T23:39:51.000Z,"JemMac (R)
@JimMack1211
·
11sReplying to 
@georgehahn
 and 
@elonmusk
@elonmusk
 loves new hats!!!",,,
Adrian``````,@muysexyadrian,2022-11-20T23:39:51.000Z,"Adrian``````
@muysexyadrian
·
11sReplying to 
@elonmusk
 and 
@kanyewest",,,
Karen Hoffman,@karenhoffman89,2022-11-20T23:39:51.000Z,"Karen Hoffman
@karenhoffman89
·
11sReplying to 
@TeslaCrazy2022
 @TomFitton
 and 
@elonmusk
Tick tock",,,
Reesus Patriot (The Irreverent Dude),@EugenePatriot1,2022-11-20T23:39:51.000Z,"Reesus Patriot (The Irreverent Dude)
@EugenePatriot1
·
11sReplying to 
@elonmusk
uh huh
From 
Reesus Patriot (The Irreverent Dude)",,,
Adrian``````,@muysexyadrian,2022-11-20T23:39:51.000Z,"Adrian``````
@muysexyadrian
·
16sReplying to 
@elonmusk
 and 
@kanyewest",,,
Karen Hoffman,@karenhoffman89,2022-11-20T23:39:51.000Z,"Karen Hoffman
@karenhoffman89
·
16sReplying to 
@TeslaCrazy2022
 @TomFitton
 and 
@elonmusk
Tick tock",,,
Reesus Patriot (The Irreverent Dude),@EugenePatriot1,2022-11-20T23:39:51.000Z,"Reesus Patriot (The Irreverent Dude)
@EugenePatriot1
·
16sReplying to 
@elonmusk
uh huh
From 
Reesus Patriot (The Irreverent Dude)",,,
Adrian,@Adrian37931256,2022-11-20T23:39:51.000Z,"Adrian
@Adrian37931256
·
16sThnks 
@elonmusk",,,
William Pulsfus,@NEPHROPHILE,2022-11-20T23:39:50.000Z,"William Pulsfus
@NEPHROPHILE
·
17sReplying to 
@GrahamAllen_1
 and 
@elonmusk
We all know that.",,,
SkolVikings,@skolvikings,2022-11-20T23:39:50.000Z,"SkolVikings
@skolvikings
·
17sReplying to 
@KeithOlbermann
 @RepMTG
 and 
@elonmusk
You first.",,,
Robert Picardo,@RobertPicardo,2022-11-20T23:39:50.000Z,"Robert Picardo
@RobertPicardo
·
17sReplying to 
@BrianAustry
 @Twitter
 and 
@elonmusk
EMH out!",,,
TP,@pull_tp,2022-11-20T23:39:50.000Z,"TP
@pull_tp
·
17sReplying to 
@kellyGDH__
 @sadfacc
 and 6 others
By the way you’re proving your ignorance by assuming I keep lots of $ in my bank account  good luck in life lil boy",,,
Michael Johnson,@mljllj,2022-11-20T23:39:50.000Z,"Michael Johnson
@mljllj
·
19s@elonmusk
 please reinstate 
@gholland04",,,
Optimus AI Robot 714,@OptimusAIBot714,2022-11-20T23:39:50.000Z,"Optimus AI Robot 714
@OptimusAIBot714
·
19sReplying to 
@Prof_Daniel_Son
 @WholeMarsBlog
 and 
@elonmusk
Kind of like deciding not to rob a bank.  Along the lines of not having a fully developed brain until 23 y/o.  Thanks for sharing.",,,
Maya Glos,@1mayanh,2022-11-20T23:39:50.000Z,"Maya Glos
@1mayanh
·
19sReplying to 
@elonmusk
So you know, I noticed this morning that Twitter now had me following Trump. I never have, never will, but there it is. First you do things to have people unfollowed and then make it so people are following him. Probably part of your ploy to entice him back, as in this cartoon.",,,
Robert,@Robert03011953,2022-11-20T23:39:50.000Z,"Robert
@Robert03011953
·
19sReplying to 
@aaillyyy
 @RachJnr1
 and 
@elonmusk
Did you miss the exit ramp?",,,
BridgetMerk,@BridgetMerk,2022-11-20T23:39:50.000Z,"BridgetMerk
@BridgetMerk
·
19sReplying to 
@dogeofficialceo
 and 
@elonmusk
Those damn nurses.",,,
C₳rdano C₳ptain,@CardanoCaptain_,2022-11-20T23:39:49.000Z,"C₳rdano C₳ptain
@CardanoCaptain_
·
20sReplying to 
@elonmusk
We love you 
@elonmusk
 ",,,
Ruch W,@RuchiraW_,2022-11-20T23:39:49.000Z,"Ruch W
@RuchiraW_
·
20sReplying to 
@elonmusk
Probably forgot his password",,,
Tom Sabol,@sirsabol,2022-11-20T23:39:49.000Z,"Tom Sabol
@sirsabol
·
20sReplying to 
@elonmusk
I think it's funny how you only get upset about lies and misinformation when it's about you #Apartheid #EmeraldMines",,,
Marksman-GentleGeneral,@GentlemanGener2,2022-11-20T23:39:49.000Z,"Marksman-GentleGeneral
@GentlemanGener2
·
20sReplying to 
@OhhhStop
 @MarkofTweets
 and 2 others
Yep. Its like the cases where homeless people would try to sue people or groups helping them to get money.",,,
"moss, shido",@taksidrayber,2022-11-20T23:39:49.000Z,"moss, shido
@taksidrayber
·
20selon musk and papa trump
Quote Tweet
Palle!
@Palle_Hoffstein
·
6h
Elon has taken over a global company and is acting like it is a purely American entity. And only seems to care about its cultural impact in that country. This all supports the idea that his reason to takeover the company is politically driven.
Show this thread",,,
Tommy Gun,@TommyF777,2022-11-20T23:39:49.000Z,"Tommy Gun
@TommyF777
·
20sReplying to 
@elonmusk
Savage ",,,
0x01A4,@0x01A4WasTaken,2022-11-20T23:39:49.000Z,"0x01A4
@0x01A4WasTaken
·
20sReplying to 
@ShowStrosFan
 @hodgetwins
 and 2 others
Well, even though I do not like him, I believe that he should be unbanned",,,
OFFICIAL matt (real),@mattsbetweetin,2022-11-20T23:39:49.000Z,"OFFICIAL matt (real)
@mattsbetweetin
·
20sReplying to 
@elonmusk
you're posting like a 15 year old who just got dumped the first time",,,
Sue Vonderhaar,@suevon,2022-11-20T23:39:49.000Z,"Sue Vonderhaar
@suevon
·
20sThis thread is everything that is so wonderful about Twitter. And this just reinforces how despicable Elon Musk is  for threatening to destroy it all.
Quote Tweet
Daniel Summers, MD (self-parody)
@WFKARS
·
23h
For the love of my oldest child, I am essentially learning algebra all over again.
Show this thread",,,
Rick Alexander,@RCAlexander82,2022-11-20T23:39:49.000Z,"Rick Alexander
@RCAlexander82
·
20sReplying to 
@AnnLesbyPhD
 and 
@elonmusk
GIF",,,
Mazel Tov,@CuriousDan3,2022-11-20T23:39:49.000Z,"Mazel Tov
@CuriousDan3
·
20sReplying to 
@elonmusk
Not to mention he's also gained over 10 million followers since the ban was reversed
GIF
ALT",,,
Alec,@Alectricityyyyy,2022-11-20T23:39:49.000Z,"Alec
@Alectricityyyyy
·
20sReplying to 
@DineshDSouza
 and 
@elonmusk
Suddenly? Okay, boomer.",,,
B,@iambrianprince,2022-11-20T23:39:49.000Z,"B
@iambrianprince
·
20sReplying to 
@elonmusk
GIF
ALT",,,
Alma,@Mysticsoul019,2022-11-20T23:39:49.000Z,"Alma
@Mysticsoul019
·
25sReplying to 
@elonmusk
If you give me a free Tesla I wouldn’t delete Twitter",,,
Christian,@TheVXTian,2022-11-20T23:39:49.000Z,"Christian
@TheVXTian
·
25sReplying to 
@Hedzer15
 @BobbyTpb
 and 6 others
That's cool if you want to. Sorry I'm not happy with the new direction of the platform and choose to not be on it should Trump decide to come back. Andrew Tate was bad enough. But Trump? Nah that's my limit",,,
Matthew Costello,@costellomatthew,2022-11-20T23:39:49.000Z,"Matthew Costello
@costellomatthew
·
25sReplying to 
@USAmbRSA
 @VisitConHill
 and 
@USEmbassySA
@elonmusk
 @USAmbRSA
  -
mediaite.com
'God Help Us All': NAACP Calls for 'Immediate Pause' by All Twitter Advertisers
The NAACP is calling for all advertisers to ""immediately pause"" their ""funding"" for Twitter in the wake of Donald Trump's account being restored.",,,
Timetravlin,@timetravlin13,2022-11-20T23:39:48.000Z,"Timetravlin
@timetravlin13
·
26sReplying to 
@rigby411
 @RobSchneider
 and 
@elonmusk
I never broke terms of service. Of course I’m not a famous blue check with tons of followers. So they just deleted my tweets and comments on tweets. Who was o going to complain to? Twitter or my 12 followers. That’s not free speech or breaking terms",,,
Park,@Park26095185,2022-11-20T23:39:48.000Z,"Park
@Park26095185
·
26sReplying to 
@vanessaaszalos
 and 
@RElgebar
Por conta do do Elon Musk ne",,,
Evon,@knowmiun,2022-11-20T23:39:48.000Z,"Evon
@knowmiun
·
26sReplying to 
@aaillyyy
 @RachJnr1
 and 
@elonmusk
Better",,,
Vhie Olmos,@OlmosVhie,2022-11-20T23:39:48.000Z,"Vhie Olmos
@OlmosVhie
·
26sReplying to 
@gunman888900
 @CFCTitus
 and 
@elonmusk
Hahahahha",,,
༻•°✯✯°•༺,@omgness4real,2022-11-20T23:39:48.000Z,"༻•°✯✯°•༺
@omgness4real
·
26sReplying to 
@elonmusk
 and 
@SethDillon",,,
MOAR_HODL,@MoarHodl,2022-11-20T23:39:47.000Z,"MOAR_HODL
@MoarHodl
·
29sReplying to 
@elonmusk
I bet he’s just trying to come up with the perfect tweet to pump #Dogecoin
1",1,,
Ray Barela,@raybarela,2022-11-20T23:39:47.000Z,"Ray Barela
@raybarela
·
29s@elonmusk
 follow me and I’ll give you a million doll-hairs",,,
Jason Burt,@Jburt66,2022-11-20T23:39:47.000Z,"Jason Burt
@Jburt66
·
29sReplying to 
@elonmusk
 and 
@TimRunsHisMouth
Maybe you can start your own news network. No opinions no spin just the news. Then people can make up their own minds. Like we used to before the media was bought and paid for by the democrats and republicans.",,,
Jeffrey Kayes,@JeffreyKayes,2022-11-20T23:39:47.000Z,"Jeffrey Kayes
@JeffreyKayes
·
29sReplying to 
@elonmusk
 im sure he will say hey at some point.",,,
DealMaker,@Dealmakerusa,2022-11-20T23:39:47.000Z,"DealMaker
@Dealmakerusa
·
29sReplying to 
@elonmusk
 and 
@kcoleman
Elon. You made the right call to kill cancel culture and America thanks you for it",,,
JustIn.credible,@JustinJ369,2022-11-20T23:39:47.000Z,"JustIn.credible
@JustinJ369
·
29sReplying to 
@HappyJesse
 and 
@elonmusk
Truth has maybe >5% of user activity that Twitter has.",,,
whats it matter,@fatdogz,2022-11-20T23:39:47.000Z,"whats it matter
@fatdogz
·
29sReplying to 
@Ciph3rzer0
 @CHARMAGLOW
 and 2 others
if search or tweets are deboosted, it will appear RED.",,,
Where's Waldo,@waldo3777,2022-11-20T23:39:47.000Z,"Where's Waldo
@waldo3777
·
29sReplying to 
@Carlyle____
 @Bdtr__
 and 2 others
Bigger companies are in the stock market and pay dividends to many share holders which takes what you guess it lots of money. Some are given to workers such as Elon musk did to his employees",,,
presley77777,@presley77777,2022-11-20T23:39:47.000Z,"presley77777
@presley77777
·
29sReplying to 
@kanyewest
I despise Facebook and have to deal with people saying ""check FB marketplace"" for every damn thing. 

So I just envisioned 
@elonmusk
 eventually opening a""Twitter Marketplace"" with Ye as a vendor, direct to the people.
GIF
ALT",,,
Brian,@Foxisthebiglie,2022-11-20T23:39:47.000Z,"Brian
@Foxisthebiglie
·
29sReplying to 
@tedcruz
 @elonmusk
 and 
@Twitter
Hey Fat Ted , get Trumps Cheeto out if your mouth",,,
Larry,@doplarry,2022-11-20T23:39:47.000Z,"Larry
@doplarry
·
33sReplying to 
@elonmusk",,,
Altera Punicea,@Altera_Punicea,2022-11-20T23:39:47.000Z,"Altera Punicea
@Altera_Punicea
·
33sReplying to 
@Karen_Swett
 @debriopta
 and 2 others
Its like feckin U2 downloading their music onto every device in the known universe. Fuck off U2, Fuck off Bono, Fuck off Trump.",,,
Duda,@duuardaa5,2022-11-20T23:39:46.000Z,"Duda
@duuardaa5
·
34sReplying to 
@honestsportz
 and 
@elonmusk",,,
Inge Ingvaldsen,@ingen87,2022-11-20T23:39:46.000Z,"Inge Ingvaldsen
@ingen87
·
34sReplying to 
@ingen87
 @thadundie
 and 4 others
dw.com
Dutch woman held in Qatar after rape charge
A 22-year-old Dutch woman has been detained in Qatar since reporting she was raped and assaulted while on vacation there in March. Her family has launched a social media campaign calling for her...",,,
Crazy Cat Lady,@HorseRules2010,2022-11-20T23:39:46.000Z,"Crazy Cat Lady
@HorseRules2010
·
34sReplying to 
@elonmusk
Stop putting a warning that the reply to a post might be offensive when it's just laughing emoji",,,
Dylan Lux,@LudaLynx,2022-11-20T23:39:46.000Z,"Dylan Lux
@LudaLynx
·
34sReplying to 
@elonmusk
This is ",,,
The Wiseguy,@FintwitBoss,2022-11-20T23:39:46.000Z,"The Wiseguy
@FintwitBoss
·
34sReplying to 
@creation247
 and 
@elonmusk
Thanks 
@elonmusk",,,
Juan Tutrífor…..1 2 3 4,@eighteenspoons,2022-11-20T23:39:46.000Z,"Juan Tutrífor…..1 2 3 4
@eighteenspoons
·
34sReplying to 
@elonmusk
 and 
@RealCandaceO
Twitter is more fun than it’s ever been!",,,
pudland40,@roland_adam,2022-11-20T23:39:46.000Z,"pudland40
@roland_adam
·
34s@elonmusk
 @Twitter
 gotta be a way to filter and auto block these. My phone can OCR from a photo.  I'll keep reporting them but my thumbs are getting tired.",,,
Epinoumenon,@Epinoumenon,2022-11-20T23:39:46.000Z,"Epinoumenon
@Epinoumenon
·
37s@elonmusk
 I'd gladly pay for 
@TwitterBlue
 just to support the vision of 
@Twitter
 not being a toxic echo-chamber (same issue w right-wing social media like TruthSocial, Gab, etc) & striving for a neutral-ground / ""town square"" ideal where the marketplace of ideas can battle it out
1",1,,
Lampu_bohlam ( centang biru ),@Lampubohlam5,2022-11-20T23:39:46.000Z,"Lampu_bohlam ( centang biru )
@Lampubohlam5
·
37sReplying to 
@elonmusk
Lekk elon.. nyeleh duit e 1 milyar oleh aa ?? Gawe cekel2an tok lekk ",,,
booty noodles,@bigsnugga,2022-11-20T23:39:46.000Z,"booty noodles
@bigsnugga
·
37sReplying to 
@elonmusk
you want this to be true so bad dont you",,,
David Katz,@BadMuthabox,2022-11-20T23:39:45.000Z,"David Katz
@BadMuthabox
·
38sReplying to 
@RichardGrenell
 @realDonaldTrump
 and 2 others
Did he say anything about me?",,,
Awkward Bob,@orbitingteapot,2022-11-20T23:39:45.000Z,"Awkward Bob
@orbitingteapot
·
38sReplying to 
@elonmusk
Twitter crashing and burning and taking Tesla and SpaceX with it is by far the most entertaining outcome",,,
Brant Williams,@BrantWilliams00,2022-11-20T23:39:45.000Z,"Brant Williams
@BrantWilliams00
·
38sReplying to 
@elonmusk
What the fuck does this really mean ?",,,
MightyJ,@Jesre_O,2022-11-20T23:39:45.000Z,"MightyJ
@Jesre_O
·
38sReplying to 
@Qurandale
 and 
@elonmusk",,,
Doug Hnut,@Doug_Hnuts,2022-11-20T23:39:45.000Z,"Doug Hnut
@Doug_Hnuts
·
38sReplying to 
@elonmusk
No way he can resist lol",,,
ijil fajil,@ijilfajil,2022-11-20T23:39:45.000Z,"ijil fajil
@ijilfajil
·
38sReplying to 
@elonmusk
Anonymous tweet. To collect human thoughts without any trace from where. Think about potential data analytics there.",,,
Don Deverell,@DCDeverell,2022-11-20T23:39:45.000Z,"Don Deverell
@DCDeverell
·
38sReplying to 
@elonmusk
Spot on...
4M on his Truth Social or 80M+ on Twitter. 
No brainer...",,,
Dana Allen,@Danalee789,2022-11-20T23:39:45.000Z,"Dana Allen
@Danalee789
·
38sReplying to 
@elonmusk",,,
Nikolai Zolkin,@Cosmonauticus,2022-11-20T23:39:45.000Z,"Nikolai Zolkin
@Cosmonauticus
·
38sReplying to 
@elonmusk
#dogefam #dogecoin #doge #DogecoinToTheMoon
1",1,,
Adrian Sosa,@the_youngsosa,2022-11-20T23:39:44.000Z,"Adrian Sosa
@the_youngsosa
·
42sReplying to 
@GrahamAllen_1
 and 
@elonmusk
Funny you bring up a recount seemings how when we asked for a recount if the last presidential election we were made fun of and called bigots. How's it feel?",,,
PC MAN,@Snagglepuss007,2022-11-20T23:39:44.000Z,"PC MAN
@Snagglepuss007
·
42s@elonmusk
 I hear musk has pardoned trump and given that criminal back access to twitter yet he took funds from Russia, sold out the US people & stole classified documents from the US people plus basically raped women and now Elon is say all is forgiven??? Wtf Elon?????",,,
₿ HOG.ROFL,@HODLshrooms,2022-11-20T23:39:44.000Z,"₿ HOG.ROFL
@HODLshrooms
·
42sReplying to 
@gainzy222
 and 
@elonmusk
Udinis a bonehead",,,
Trent,@Trent92742392,2022-11-20T23:39:44.000Z,"Trent
@Trent92742392
·
42sReplying to 
@kidsnetsoft
 @David34372727
 and 4 others
so thats why you support the Biden crime family? Liberals are brilliant!",,,
Mom,@conservativegem,2022-11-20T23:39:44.000Z,"Mom
@conservativegem
·
42sReplying to 
@caslernoel
 and 
@elonmusk
Just bough a beautiful shiny #Tesla The best!",,,
Rick Girthquake,@GirthquakeG,2022-11-20T23:39:44.000Z,"Rick Girthquake
@GirthquakeG
·
42sReplying to 
@louminatto
 @GoOilers_17
 and 2 others
You're never truly safe. Driving is inherently risky.",,,
